htid,year,bib_fmt,stratum,title,description
mdp.39015004522952,1977,BK,book,"Brassey's artillery of the world : guns, howitzers, mortars, guided weapons, rockets, and ancillary equipment in service with the regular and reserve forces of all nations / editor, Brigadier Shelford Bidwell ; co-authors, compilers, and consultants, Brian Blunt, Tolley Taylor.",
mdp.39015064568374,1945,BK,book,Brawn and brains; the adventures of an international contractor / by Franklin Remington.,
wu.89038750105,1945,BK,book,Brawn and brains; the adventures of an international contractor / by Franklin Remington.,
mdp.39015003491274,1969,BK,book,"British dramatists from Dryden to Sheridan / edited by George H. Nettleton and Arthur E. Case. Rev. by George Winchester Stone, Jr.",
osu.32435009104431,1977,BK,book,Browning / by Sir Frank T. Marzials.,
mdp.39015025114086,1952,BK,book,Browning and America.,
coo.31924014151264,1965,BK,book,Browning and the dramatic monologue; nature and interpretation of an overlooked form of literature.,
mdp.39015002242678,1969,BK,book,Browning as the poet of immortality and love; a paper read to the Poetry Society on the fiftieth anniversary of the death of Robert Browning.,
uc1.31822013022298,1973,BK,book,Browning music; a descriptive catalog of the music related to Robert Browning and Elizabeth Barrett Browning in the Armstrong Browning Library: 1972,
uc1.x28145,1965,BK,book,Browning of white wines.,
uc1.c2891774,1956,BK,book,Browning rates and equilibrium vapor pressures of white potatoes in later stages of dehydration / by Carl Ernest Hendel.,
mdp.39015064857397,1933,BK,book,"Browning the world over; being Baylor university Browning interests, series six, Browning's international influence, and series seven, A bibliography of foreign Browningiana / by A. Joseph Armstrong ...",
mdp.39015081564240,1972,BK,book,Browning's Old schoolfellow; the artistic relationship of two Robert Brownings / by Jack Herring.,
mdp.39015008184890,1964,BK,book,Browning's Parleyings; the autobiography of a mind.,
uc1.b4937890,1972,BK,book,"Browning's Ring metaphor and truth, by Paul A. Cundiff.",
mdp.39015008163951,1972,BK,book,"Browning's Ring metaphor and truth, by Paul A. Cundiff.",
mdp.39015001345621,1968,BK,book,"Browning's Roman murder story; a reading of The ring and the book / [by] Richard D. Altick and James F. Loucks, II.",
uc1.$b387463,1969,BK,book,Browning's analysis of a murder; a case for The inn album.,
mdp.49015001006486,1961,BK,book,Browning's characters; a study in poetic technique.,
mdp.39015000225485,1961,BK,book,Browning's characters; a study in poetic techniques.,
mdp.39015009046544,1948,BK,book,Browning's essay on Chatterton / ed. with introductory chapters and notes by Donald Smalley; with a foreword by William C. De Vane.,
uc1.$b683254,1948,BK,book,Browning's essay on Chatterton / ed. with introductory chapters and notes by Donald Smalley; with a foreword by William C. De Vane.,c.2
mdp.39015000225519,1975,BK,book,"Browning's later poetry, 1871-1889 / Clyde de L. Ryals.",
mdp.49015001004861,1968,BK,book,Browning's mind and art / [by] Richard D. Altick [and others] Essays edited by Clarence Tracy.,
uc1.b4937895,1968,BK,book,Browning's poetry of reticence.,
uc1.b4582044,1965,BK,book,Browning's star-imagery; the study of a detail in poetic design,
mdp.49015001007625,1965,BK,book,Browning's star-imagery; the study of a detail in poetic design,
